"","bin_index","cluster","min","max","n","wt","dev","yval","complexity"
"1","1","8",30,31,2,2,0.089892523107308,0.790516309647516,0.01
"2","2","8",31,32,2,2,0.089892523107308,0.790516309647516,0.01
"3","3","7",32,33,3,3,0.287774402901345,0.539210744845415,0.01
"4","4","7",33,34,3,3,0.287774402901345,0.539210744845415,0.01
"5","5","7",34,35,3,3,0.287774402901345,0.539210744845415,0.01
"6","6","4",35,36,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"7","7","4",36,37,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"8","8","4",37,38,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"9","9","4",38,39,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"10","10","4",39,40,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"11","11","4",40,41,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"12","12","4",41,42,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"13","13","4",42,43,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"14","14","4",43,44,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"15","15","4",44,45,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"16","16","4",45,46,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"17","17","4",46,47,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"18","18","4",47,48,13,13,2.97331620191822,0.354536994354232,0.04258256047236
"19","19","5",48,49,7,7,1.04421850329786,0.365497340876759,0.0136515977075727
"20","20","5",49,50,7,7,1.04421850329786,0.365497340876759,0.0136515977075727
"21","21","5",50,51,7,7,1.04421850329786,0.365497340876759,0.0136515977075727
"22","22","5",51,52,7,7,1.04421850329786,0.365497340876759,0.0136515977075727
"23","23","5",52,53,7,7,1.04421850329786,0.365497340876759,0.0136515977075727
"24","24","5",53,54,7,7,1.04421850329786,0.365497340876759,0.0136515977075727
"25","25","5",54,55,7,7,1.04421850329786,0.365497340876759,0.0136515977075727
"26","26","10",55,56,5,5,0.794053870571481,0.51571806529959,0.0104269600611054
"27","27","10",56,57,5,5,0.794053870571481,0.51571806529959,0.0104269600611054
"28","28","10",57,58,5,5,0.794053870571481,0.51571806529959,0.0104269600611054
"29","29","10",58,59,5,5,0.794053870571481,0.51571806529959,0.0104269600611054
"30","30","10",59,60,5,5,0.794053870571481,0.51571806529959,0.0104269600611054
"31","31","11",60,61,2,2,2.46610057550558,0.788398195838587,0.01
"32","32","11",61,62,2,2,2.46610057550558,0.788398195838587,0.01
