"","bin_index","cluster","min","max","n","wt","dev","yval","complexity"
"1","1","6",30,31,2,2,0.148323711891625,0.679244242346033,0.01
"2","2","6",31,32,2,2,0.148323711891625,0.679244242346033,0.01
"3","3","5",32,33,5,5,0.785270383264412,0.536941955817875,0.00954298167855954
"4","4","5",33,34,5,5,0.785270383264412,0.536941955817875,0.00954298167855954
"5","5","5",34,35,5,5,0.785270383264412,0.536941955817875,0.00954298167855954
"6","6","5",35,36,5,5,0.785270383264412,0.536941955817875,0.00954298167855954
"7","7","5",36,37,5,5,0.785270383264412,0.536941955817875,0.00954298167855954
"8","8","3",37,38,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"9","9","3",38,39,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"10","10","3",39,40,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"11","11","3",40,41,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"12","12","3",41,42,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"13","13","3",42,43,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"14","14","3",43,44,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"15","15","3",44,45,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"16","16","3",45,46,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"17","17","3",46,47,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"18","18","3",47,48,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"19","19","3",48,49,12,12,2.37730530393992,0.428217868731594,0.0215874225525154
"20","20","9",49,50,6,6,0.639500738171346,0.481311706906783,0.0073376543553862
"21","21","9",50,51,6,6,0.639500738171346,0.481311706906783,0.0073376543553862
"22","22","9",51,52,6,6,0.639500738171346,0.481311706906783,0.0073376543553862
"23","23","9",52,53,6,6,0.639500738171346,0.481311706906783,0.0073376543553862
"24","24","9",53,54,6,6,0.639500738171346,0.481311706906783,0.0073376543553862
"25","25","9",54,55,6,6,0.639500738171346,0.481311706906783,0.0073376543553862
"26","26","10",55,56,5,5,0.791890079912077,0.584879565413034,0.011069347223179
"27","27","10",56,57,5,5,0.791890079912077,0.584879565413034,0.011069347223179
"28","28","10",57,58,5,5,0.791890079912077,0.584879565413034,0.011069347223179
"29","29","10",58,59,5,5,0.791890079912077,0.584879565413034,0.011069347223179
"30","30","10",59,60,5,5,0.791890079912077,0.584879565413034,0.011069347223179
"31","31","11",60,61,2,2,0.909643613577045,0.850472576339604,0.01
"32","32","11",61,62,2,2,0.909643613577045,0.850472576339604,0.01
