"","index","worms_sciname","min_lat","max_lat"
"1","1","Agriopoma tomeanum",29.653333,30.086667
"2","2","Ameritella amianta",30.075,31.352778
"3","3","Ameritella cadieni",33.7220001221,34.25
"4","4","Ameritella carpenteri",32.5859985352,54.3100013733
"5","5","Ameritella coani",26.6225,31.2
"6","6","Ameritella modesta",32.5509986877,57.090582
"7","7","Amerycina colpoica",29.8,31.37
"8","8","Amiantis callosa",27.6283,34.393994
"9","9","Callithaca tenerrima",32.6781,58.3
"10","10","Chione californiensis",25.582886,37.77645
"11","11","Chione compta",25.87,37.733
"12","12","Chione undatella",25.015,34.403553
"13","13","Chionista fluctifraga",25.154722,37.118031
"14","14","Chionopsis gnidia",25.261774,31.31
"15","15","Chionopsis lilacina",28.348333,31.018673
"16","16","Chionopsis pulicaria",29.5,31.018673
"17","17","Choristodon robustus",30.35,30.35
"18","18","Coanyax pacificus",26.713889,31.333333
"19","19","Compsomyax subdiaphana",31.751101,60.9309997559
"20","20","Cooperella subdiaphana",31.751101,54.0099983215
"21","21","Cryptomya californica",26.6225,55.016667
"22","22","Cyclinella jadisi",31.05,31.05
"23","23","Cyclinella producta",26.98333,30.3083333333
"24","24","Cymatoica undulata",31.246667,31.288333
"25","25","Dosinia dunkeri",25.01,31.33
"26","26","Dosinia ponderosa",25.01,31.366667
"27","27","Eurytellina hiberna",31.686894,31.686894
"28","28","Eurytellina prora",31.283333,31.283333
"29","29","Eurytellina regia",25.72251,31.018673
"30","30","Eurytellina simulans",26.821048,31.352778
"31","31","Gemma gemma",35.3339996338,50.366665
"32","32","Globivenus fordii",25.65,34.495575
"33","33","Glycymeris gigantea",26.01,31.344155
"34","34","Glycymeris maculata",27.891788,31.35
"35","35","Glycymeris septentrionalis",32.552758,59.558333
"36","36","Heteromacoma irus",58.38,58.38
"37","37","Humilaria kennerleyi",46.376964,60.733333
"38","38","Hysteroconcha lupanaria",25.154722,32.669124
"39","39","Idatellina idae",32.546263,33.716999054
"40","40","Irusella lamellifera",32.81449,37.495528
"41","41","Isorobitella trigonalis",31.2,31.2
"42","42","Kellia laperousii",32.830053,60.116667
"43","43","Kellia suborbicularis",26.875,60.381167
"44","44","Kelliopsis cokeri",26.413333,31.343333
