"","index","worms_sciname","min_lat","max_lat"
"1","1","Acromegalomma circumspectum",33.543331,33.543331
"2","2","Acromegalomma coloratum",34.037034,34.410772
"3","3","Acromegalomma pigmentum",25.04,35.0419998169
"4","4","Acromegalomma splendidum",33.2210006714,58.7859992981
"5","5","Alitta succinea",27.891111,50.366665
"6","6","Alitta virens",43.3940010071,54.02
"7","7","Alitta williami",43.343393,60.579262
"8","8","Amastigos acutus",34.4153,34.4153
"9","9","Amblyosyllis anae",37.493962,37.494511
"10","10","Amblyosyllis hectori",32.84331,34.003945
"11","11","Amblyosyllis nigrolineata",32.671713,37.805258
"12","12","Amblyosyllis speciosa",33.4448,33.4448
"13","13","Anguillosyllis blakei",37.187666666667,37.187666666667
"14","14","Anguillosyllis inornata",37.164333,38.667
"15","15","Anguillosyllis palpata",37.371833,37.716
"16","16","Anotomastus gordiodes",28.942222,34.4039993286
"17","17","Arcteobia anticostiensis",47.71938,48.995
"18","18","Arcteobia spinelytris",40.7213897705,53.1899986267
"19","19","Arctonoe fragilis",37.49495,59.549999
"20","20","Arctonoe pulchra",27.409089,60.3
"21","21","Autolytus beringianus",56.946533,56.946533
"22","22","Autolytus varius",48.736667,48.883333
"23","23","Barantolla americana",36.795,57.7150001526
"24","24","Bathyadmetella commando",45.75,45.75
"25","25","Bathykurila guaymasensis",27.0116691589,44.57
"26","26","Bathymoorea renotubulata",33.1708297729,33.1708297729
"27","27","Bathynoe cascadiensis",44.07,45.6033287048
"28","28","Bathynoe pacifica",43.8383,43.8383293152
"29","29","Bispira crassicornis",25.598333,52.3608207703
"30","30","Bispira elegans",47.9900016785,47.9900016785
"31","31","Bispira pacifica",32.767691,49.568396
"32","32","Bispira turneri",36.527817,36.527817
"33","33","Bispira volutacornis",38.066283,38.066283
"34","34","Brachysyllis lagunae",33.445,33.445
"35","35","Branchinotogluma tunnicliffeae",44.669,44.669
"36","36","Branchiomma bairdi",25.313333,34.173096
"37","37","Branchiosyllis exilis",26.723057,32.842667
"38","38","Brania brevipharyngea",48.426,53.628333
"39","39","Bylgides elegans",57.1853,57.1853
"40","40","Bylgides macrolepidus",43.5773,59.8583297729
"41","41","Bylgides sarsi",60.599,60.599
"42","42","Califia calida",32.914675,44.7281
"43","43","Capitella capitata",25.598333,59.951667
"44","44","Capitella capitata oculata",32.86833,32.86833
"45","45","Capitella capitata tripartita",33.63333,33.63333
"46","46","Capitella ovincola",25.602222,37.94237
"47","47","Ceratocephale loveni",32.7410011292,32.7410011292
"48","48","Ceratocephale oculata",25.5675,31.313333
"49","49","Ceratocephale pacifica",26.991667,37.7167
"50","50","Ceratocephale papillata",25.121667,31.3133
"51","51","Ceratonereis (Composetia) costae",31.3250007629,31.4033298492
"52","52","Ceratonereis (Composetia) tunicatae",47.57922,47.70651
"53","53","Ceratonereis mirabilis",26.473056,31.4033298492
"54","54","Ceratonereis singularis",25.7635,31.8
"55","55","Cheilonereis cyclurus",26.720556,59.825
"56","56","Chone aurantiaca",47.288628,57.780556
"57","57","Chone duneri",33.1650009155,58.766667
"58","58","Chone gracilis",25.765,61.11333
"59","59","Chone magna",33.6170005798,59.2109985352
"60","60","Chone minuta",25.586667,48.426
"61","61","Chone mollis",25.586667,59.091999054
"62","62","Cicese sphaerosylliformis",30.47917,30.47917
"63","63","Clavadoce nigrimaculata",48.860001,52.5999984741
"64","64","Clavadoce splendida",38.21,38.21
"65","65","Composetia costae",25.975,31.533333
"66","66","Dasybranchus parplatyceps",26.216667,31.277777777778
"67","67","Decamastus gracilis",31.85285,57.523333
"68","68","Decamastus nudus",25.04,30.99
"69","69","Dialychone albocincta",31.751101,39.5089988708
"70","70","Dialychone veleronis",32.5509986877,43.6209983826
"71","71","Dodecamastus mariaensis",33.9570007324,35.4295
"72","72","Enipo canadensis",48.898333,59.155
"73","73","Epigamia alexandri",48.3149986267,48.865
"74","74","Epigamia magna",40.807454,57.887305
"75","75","Epigamia noroi",43.342,51.697033
"76","76","Erinaceusyllis erinaceus",57.551417,60.7919998169
"77","77","Eteone balboensis",47.2921,47.2921
"78","78","Eteone brigitteae",32.6300010681,47.8223
"79","79","Eteone californica",34.0530014038,60.288518
"80","80","Eteone columbiensis",45.4900016785,48.3680000305
"81","81","Eteone dilatae",25.586667,38.241
"82","82","Eteone leptotes",33.6949996948,47.9167
"83","83","Eteone pacifica",33.129159,57.923831
"84","84","Eteone pigmentata",28.141667,47.8439
"85","85","Eteone spetsbergensis",48.701667,48.756667
"86","86","Eteone spilotus",36.9790000916,48.421667
"87","87","Eteone tuberculata",47.58835,47.9245
"88","88","Euchone arenae",25.975,56.5849990845
"89","89","Euchone hancocki",33.8870010376,55.3759994507
"90","90","Euchone incolor",25.201667,58.4420013428
"91","91","Euchone limnicola",32.6469993591,47.56139
"92","92","Euchone longifissurata",59.8499984741,61.10583
"93","93","Euchone magna",33.888861,33.888861
"94","94","Euchone rosea",37.89417,37.91557
"95","95","Euchone velifera",34.233001709,37.9099998474
"96","96","Eucranta anoculata",33.94089,40.7156
"97","97","Eudistylia catharinae",47.37136,53.5
"98","98","Eudistylia polymorpha",25.598333,55.350163
"99","99","Eudistylia vancouveri",36.606559,59.470001
"100","100","Eulalia aviculiseta",32.866,37.8335
"101","101","Eulalia bilineata",26.99,58.9
"102","102","Eulalia californiensis",33.5979995728,51.655383
"103","103","Eulalia gracilior",32.0952,35.364597
"104","104","Eulalia levicornuta",32.063934,53.5299987793
"105","105","Eulalia quadrioculata",33.368,60.316667
"106","106","Eulalia viridis",49.291389,60.003333
"107","107","Eumida longicornuta",31.774116,57.047658
"108","108","Eumida sanguinea",26.886667,54.3499984741
"109","109","Eumida tubiformis",36.871667,49.571667
"110","110","Eunoe barbata",38.066283,38.066283
"111","111","Eunoe depressa mamillata",58.358333333,58.358333333
"112","112","Eunoe nodosa",50.556667,51.116667
"113","113","Eunoe oerstedi",44.11145,58.766667
"114","114","Eunoe sentiformis",49.488333,49.7
"115","115","Eunoe subtruncata",55.316667,55.316667
"116","116","Eunoe uniseriata",47.2249984741,47.704444
"117","117","Eurysyllis americana",32.83278,32.83278
"118","118","Eurysyllis spicum",34.7126,35.0975
"119","119","Eusyllis assimilis",27.936667,50.8575
"120","120","Eusyllis blomstrandi",33.8269996643,56.946533
"121","121","Eusyllis collaris",58.56667,58.56667
"122","122","Eusyllis grandmariae",32.9845,36.802
"123","123","Eusyllis habei",31.860468,48.421667
"124","124","Eusyllis japonica",52.111667,52.111667
"125","125","Eusyllis lamelligera",32.83766,47.86624
"126","126","Eusyllis longicirrata",33.8819999695,34.4642
"127","127","Eusyllis nuchalata",44.67,44.67
"128","128","Exogone (Exogone) lourei",31.784634,53.59
"129","129","Exogone (Parexogone) molesta",33.1189994812,54.03
"130","130","Exogone breviantennata",26.723057,31.815731
"131","131","Exogone dwisula",32.6469993591,48.6100006104
"132","132","Exogone naidina",47.3379,56.946533
"133","133","Exogone uniformis",33.72083,33.72083
"134","134","Exogone verugera",49.098317,59.77
"135","135","Gattyana ciliata",48.266667,59.835
"136","136","Gattyana cirrhosa",47.6710014343,58.76
"137","137","Gattyana treadwelli",47.225,59.918333
"138","138","Gaudichaudius iphionelloides",43.2893,59.908000946
"139","139","Gesiella jameensis",36.7975,36.7975
"140","140","Glycera americana",25.638333,53.911389
"141","141","Glycera branchiopoda",25.975,31.815731
"142","142","Glycera capitata",25.143333,61.105833
"143","143","Glycera dibranchiata",25.598333,31.138333
"144","144","Glycera macrobranchia",31.784384,48.3180007935
"145","145","Glycera nana",31.788233,60.75
"146","146","Glycera oxycephala",25.558333,47.2449989319
"147","147","Glycera robusta",31.88445,59.48
"148","148","Glycera siphonostoma",47.698333,52.601667
"149","149","Glycera tenuis",32.6619987488,53.1300010681
"150","150","Glycera tesselata",25.04,58.701667
"151","151","Glycera tridactyla",25.665,49.263333
"152","152","Glycinde armigera",25.598333,61.246667
"153","153","Glycinde picta",26.851667,61.1910018921
"154","154","Glycinde polygnatha",25.201667,57.983001709
"155","155","Goniada annulata",40.9547,61.1910018921
