worms_sciname,worms_aphiaid,rank,phylum,class,subclass,order,family,genus,year,countryCode,stateProvince,county,locality,decimalLatitude,decimalLongitude,depth,taxonRemarks,verbatim_obis,terrestrial_only
Chone magna,332682,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,NA,NA,NA,NA,Monterey Bay NMS,37.91557,-123.4218,136,Originally identified as 'Chone magna',Chone magna,0
Lepidonotus,129496,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Lepidonotus,1998,NA,NA,NA,NA,47.9900016785,-122.669998169,45.5,NA,Lepidonotus,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,2003,NA,NA,NA,NA,43.9329986572,-124.314002991,102,NA,Pholoe sp n1,0
Naineris dendritica,334057,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Naineris,2003,NA,NA,NA,NA,32.7859992981,-117.250999451,3,NA,Naineris dendritica,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,NA,NA,NA,NA,San Francisco Bay,37.75237,-122.2176,1.2,Originally identified as 'Leitoscoloplos pugettensis',Leitoscoloplos pugettensis,0
Pholoe minuta,130603,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,1976,NA,NA,NA,NA,66.395,-162.0983,5,NA,Pholoe minuta,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,1999,NA,NA,NA,NA,47.1199989319,-122.910003662,11,NA,Pholoe sp. cmplx,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,33.5979995728,-118.04599762,38,NA,Mediomastus sp,0
Sphaerosyllis californiensis,332003,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Sphaerosyllis,1999,NA,NA,NA,NA,47.25,-122.589996338,50.5,NA,Sphaerosyllis californiensis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,North Hill Street,32.728619,-117.264999,9.6,NA,Laminaria,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,34.3050003052,-119.414001465,29,NA,Macoma sp,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2003,NA,NA,NA,NA,37.6230010986,-122.932998657,91,NA,Glycinde armigera,0
Natopolynoe kensmithi,329443,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Natopolynoe,1979,NA,NA,NA,California,33.306666667,-118.594,1300,NA,Natopolynoe kensmithi,0
Tresus,367775,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Tresus,1960,NA,NA,NA,NA,54.1800003052,-131.440002441,10,NA,Tresus,0
Notomastus,129220,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,34.1339988708,-119.958000183,173,NA,Notomastus sp a,0
Compsomyax subdiaphana,507527,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Compsomyax,2003,NA,NA,NA,NA,46.53099823,-124.330001831,72,NA,Compsomyax subdiaphana,0
Decamastus gracilis,326885,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Decamastus,NA,NA,NA,NA,Monterey Bay NMS,37.7112,-123.1265,110,Originally identified as 'Decamastus gracilis',Decamastus gracilis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Ft Ross,38.510601,-123.24506399999999,6.1,NA,Laminaria,0
Notomastus,129220,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,34.1049995422,-119.195999146,29,NA,Notomastus sp a,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,33.6360015869,-118.197998047,33,NA,Mediomastus sp,0
Euchone limnicola,332800,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,2000,NA,NA,NA,NA,37.9300003052,-122.410003662,8,NA,Euchone limnicola,0
Gymnonereis crosslandi,333515,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Gymnonereis,2003,NA,NA,NA,NA,34.1160011292,-119.935997009,105,NA,Gymnonereis crosslandi,0
Macoma carlottensis,420876,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,47.7939987183,-124.897003174,103,NA,Macoma carlottensis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Judith Reserve San Miguel Island,34.023281,-120.440453,12,NA,Laminaria,0
Eteone californica,327523,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,2002,NA,NA,NA,NA,45.5069999695,-123.93800354,NA,NA,Eteone californica,0
Cooperella subdiaphana,507459,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Cooperella,2003,NA,NA,NA,NA,33.4280014038,-117.644996643,12,NA,Cooperella subdiaphana,0
Macoma elimata,582757,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,46.3370018005,-124.392997742,110,NA,Macoma elimata,0
Chone,129525,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,2003,NA,NA,NA,NA,34.013999939,-118.592002869,34,NA,Chone sp b,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,San Francisco Bay,37.90815,-122.3896,10.1,Originally identified as 'Glycinde armigera',Glycinde armigera,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,San Francisco Bay,38.02733,-122.3539,5.2,Originally identified as 'Glycinde armigera',Glycinde armigera,0
Ruditapes philippinarum,231750,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Ruditapes,2002,NA,NA,NA,NA,46.4920005798,-123.991996765,NA,NA,Venerupis philippinarum,0
Glycera capitata,130118,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,1988,NA,NA,NA,"Graham Island, Queen Charlotte City  Bearskin Bay, E of Spruce Pt (=MacMillan Pt).",53.2299995422,-132.059997559,0.1,NA,Glycera capitata,0
Phyllodoce groenlandica,334506,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,NA,NA,NA,NA,Puget Sound,47.7991,-122.857,14.8,Originally identified as 'Phyllodoce groenlandica',Phyllodoce groenlandica,0
Macoma carlottensis,420876,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,32.7509994507,-117.387001038,342,NA,Macoma carlottensis,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,46.5279998779,-124.262001038,55,NA,Macoma sp,0
Syllis heterochaeta,195998,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,NA,NA,NA,NA,Puget Sound,48.519,-122.578055,20,Originally identified as 'Ehlersia heterochaeta',Ehlersia heterochaeta,0
Mya arenaria,140430,species,Mollusca,Bivalvia,Autobranchia,Myida,Myidae,Mya,NA,NA,NA,NA,San Francisco Bay,37.46292,-122.0263,1.1,Originally identified as 'Mya arenaria',Mya arenaria,0
